SN,title,DOI,domain,year,authors,author_regions,abstract,keywords,cited_by_count,is_oa,oa_status,oa_url,openalex_countries,openalex_authors,umap_x,umap_y,umap_x_mpnet,umap_y_mpnet,umap_x_minilm,umap_y_minilm,umap_x_specter,umap_y_specter,umap_x3,umap_y3,umap_z3,umap_x3_mpnet,umap_y3_mpnet,umap_z3_mpnet,umap_x3_minilm,umap_y3_minilm,umap_z3_minilm,umap_x3_specter,umap_y3_specter,umap_z3_specter,cluster,cluster_label
225,"A Comprehensive Survey on Bias and Fairness in Generative AI: Legal, Ethical, and Technical Responses",https://doi.org/10.1007/978-981-96-7273-8_22,General Fairness & Bias Mitigation,2025,Xiaojian Lin; Michael Losavio,Hong Kong; USA,"Large Language Models (LLMs) have transformed Recommendation Systems (RecSys) by enabling more user-aware interactions. However, this shift raises new challenges in evaluating fairness, particularly due to confounding systemic biases such as popularity bias. Conventional fairness assessments often confuse disparities in user treatment with systemic biases toward popular items, resulting in misleading conclusions. In this paper, we introduce PureBiasoMeter, a diagnostic framework that decouples popularity bias from user-level fairness in LLM-based RecSys. Our approach is based on the hypothesis that accurate fairness evaluation requires first mitigating popularity bias and then remeasuring fairness metrics. We generate a comprehensive set of 72 prompts using different user profiling strategies, demographic variants, and bias mitigation instructions. By applying these prompts in a black-box LLM setting, we evaluate fairness sensitivity, recommendation quality, and bias levels across multiple dimensions. Our results demonstrate that removing popularity bias substantially alters fairness measurements and reveals underlying disparities that were previously unknown. PureBiasoMeter thus provides a more reliable basis for fairness analysis and contributes a practical tool for disentangling intertwined sources of bias in modern RecSys.",Generative grammar; Cultural bias; Natural (archaeology); Generative model; Root (linguistics); Natural language,0,FALSE,closed,,Hong Kong; USA,Xiaojian Lin; Michael Losavio,13.12168,4.5865,13.12168,4.5865,10.69458,5.0412,11.11462,3.36267,-3.01143,7.51372,4.64633,-3.01143,7.51372,4.64633,1.09039,6.23177,4.45405,7.53917,0.94363,1.04991,2,Recommender system · Information retrieval
226,FAIR-MED: Bias Detection and Fairness Evaluation in Healthcare Focused XAI,https://doi.org/10.1007/978-3-032-08317-3_18,Health & Clinical AI,2025,Katsiaryna Bahamazava; Ruairi O'Reilly,Italy; Ireland,"Abstract Artificial Intelligence models are increasingly used for classification tasks in healthcare. However, many healthcare professionals and machine learning engineers are still unaware of how these models contribute to and amplify biases. This work introduces a new framework (FAIR-MED) for bias detection and fairness evaluation in healthcare AI models, with a particular emphasis on intersectional fairness, which accounts for the compounded effects of multiple demographic attributes rather than assessing bias in isolation. Current methods often focus solely on data biases and overlook the compounded impact of multiple demographic attributes (e.g., age, gender, socioeconomic status) leading to unequal outcomes across diverse patient populations. To bridge this gap, a comprehensive, model-agnostic framework that incorporates a Compound Fairness Score is proposed. This approach to fairness goes beyond traditional methods by providing insights into the compounded impact of biases across different groups. Additionally, entropy-based weighting is introduced to quantify and aggregate bias metrics in a data-driven manner, ensuring that fairness evaluations prioritize the most impactful sources of bias. The proposed framework is evaluated on widely adopted families of AI models (linear, non-linear and neural network-based approaches) against open-source breast cancer dataset. The results suggest that Neural Networks may be more prone to amplifying existing biases, while Random Forest models tend to exhibit a better fairness balance in this evaluation. Logistic Regression, the most interpretable among the evaluated models, demonstrated overall stability but exhibited noticeable accuracy disparities across age groups. By aligning with transparency and accountability principles outlined in the EU AI Act, FAIR-MED offers a systematic, interpretable, and reproducible approach to bias analysis and fairness assessment, contributing to the development of ethical, equitable, and trustworthy AI-driven healthcare solutions.",Transparency (behavior); Weighting; Health care; Random forest; Accountability; Protocol (science); Stability (learning theory); Bridge (graph theory),1,TRUE,hybrid,https://link.springer.com/content/pdf/10.1007/978-3-032-08317-3_18.pdf,Italy; Ireland,Katsiaryna Bahamazava; Ruairi O’Reilly,0.46214,4.33271,0.46214,4.33271,2.19818,7.43878,3.76546,7.00509,7.28006,6.76553,2.43236,7.28006,6.76553,2.43236,7.65655,7.54897,2.97544,3.25836,8.38796,4.13768,0,Health care · Medicine
227,From Ethical Declarations to Provable Independence: An Ontology-Driven Optimal-Transport Framework for Certifiably Fair AI Systems,https://doi.org/10.48550/arXiv.2510.08086,Graph-Based Fairness & Bias Mitigation,2025,Sukriti Bhattacharya; Chitro Majumdar,Luxembourg; Dubai,"This paper presents a framework for provably fair AI that overcomes the limits of current bias mitigation methods by systematically removing all sensitive information and its proxies. Using ontology engineering in OWL 2 QL, it formally defines sensitive attributes and infers their proxies through logical reasoning, constructing a sigma algebra G that captures the full structure of biased patterns. Fair representations are then obtained via Delbaen Majumdar optimal transport, which generates variables independent of G while minimizing L2 distance to preserve accuracy. This guarantees true independence rather than mere decorrelation. By modeling bias as dependence between sigma algebras, compiling ontological knowledge into measurable structures, and using optimal transport as the unique fair transformation, the approach ensures complete fairness in tasks like loan approval, where proxies such as ZIP code reveal race. The result is a certifiable and mathematically grounded method for trustworthy AI.",Independence (probability theory); Ontology; Sigma; Axiom; Scheme (mathematics); Soundness; Code (set theory); Trustworthiness,0,TRUE,green,https://arxiv.org/pdf/2510.08086,;,Sukriti Bhattacharya; Chitro Majumdar,6.27588,5.00757,6.27588,5.00757,6.97031,8.29027,6.11156,6.77968,2.87696,4.09569,2.4769,2.87696,4.09569,2.4769,5.52181,7.88488,-0.73031,5.66915,7.07572,3.56549,4,Psychology · Mathematics
228,Fairness-aware Cross-Domain Recommendation,https://doi.org/10.1007/978-981-97-5555-4_19,Recommender Systems,2025,Jiakai Tang; Xueyang Feng; Xu Chen,China; China; China,"The development of algorithms and the spread of social networking services cause filter bubbles that can contribute to the polarization of opinions and the breeding ground for fake news. Based on existing research that suggests virtual experiences influence people’s behavior, we hypothesize that experience able pseudo-filter bubbles can make people aware of the danger of filter bubbles and prevent them from falling into them. In order to generate experience able pseudo-filter bubbles, we aim to generate LLM agents with political ideologies that can imitate Internet actions, such as generating search queries. Furthermore, we mitigate the inherent left-leaning bias of the LLM so that we can generate LLM agents with more various ideologies. As a result, in addition to mitigating agents’ bias through prompt engineering alone, we have succeeded in generating agents with various ideologies, including extreme left-wing and almost extreme right-wing ideologies. This result expands the applicability of prompt engineering and can be the first step in creating pseudo-filter bubbles.",Computer science; Domain (mathematical analysis); Theoretical computer science; Mathematics,2,FALSE,closed,,China; China; China,Jiakai Tang; Xueyang Feng; Xu Chen,4.57248,8.49439,4.57248,8.49439,8.46203,5.66042,8.37209,3.21454,2.1717,3.4498,6.06095,2.1717,3.4498,6.06095,3.91493,5.83471,-0.52117,4.60016,2.84978,2.03004,5,Psychology · Natural language processing
229,Fairness Through Domain Awareness: Mitigating Popularity Bias for Music Discovery,https://doi.org/10.1007/978-3-031-56066-8_27,Recommender Systems,2024,Rebecca Salganik; Fernando Díaz; Golnoosh Farnadi,Canada; USA; Canada,"With the rapid development of large language models (LLMs), they have significantly improved efficiency across a wide range of domains. However, recent studies have revealed that LLMs often exhibit gender bias, leading to serious social implications. Detecting, classifying, and mitigating gender bias in LLMs has therefore become a critical research focus. In the NLPCC 2025 Shared Task 7: Chinese Corpus for Gender Bias Detection, Classification and Mitigation Challenge, we investigate how to enhance the capabilities of LLMs in gender bias detection, classification, and mitigation. We adopt reinforcement learning, chain-of-thoughts (CoT) reasoning, and supervised fine-tuning to handle different Subtasks. Specifically, for Subtasks 1 and 2, we leverage the internal reasoning capabilities of LLMs to guide multi-step thinking in a staged manner, which simplifies complex biased queries and improves response accuracy. For Subtask 3, we employ a reinforcement learning-based approach, annotating a preference dataset using GPT-4. We then apply Direct Preference Optimization (DPO) to mitigate gender bias by introducing a loss function that explicitly favors less biased completions over biased ones. Our approach ranked first across all three subtasks of the NLPCC 2025 Shared Task 7.",Computer science; Popularity; Domain (mathematical analysis); Data science; Human–computer interaction; Psychology,2,FALSE,closed,,Canada; USA; Canada,Rebecca Salganik; Fernando Díaz; Golnoosh Farnadi,5.28,7.86925,5.28,7.86925,7.64353,5.71784,7.65327,4.30087,2.72334,2.79264,6.53726,2.72334,2.79264,6.53726,3.72731,5.5275,-0.35284,4.46227,3.67309,2.68644,5,Psychology · Natural language processing
230,"OKRA: An Explainable, Heterogeneous, Multi-stakeholder Job Recommender System",https://doi.org/10.1007/978-3-031-88711-6_22,Recommender Systems,2025,Roan Schellingerhout; Francesco Barile; Nava Tintarev,Netherlands; Netherlands; Netherlands,"Retrieval-augmented generation (RAG) improves the performance of LLM-based applications by incorporating information from external knowledge bases. However, the introduction of search engines and knowledge sources can also introduce new biases and stereotypes into the system. Previous studies have shown that adjusting the bias of retrievers through fine-tuning can influence the overall bias of the RAG system, mitigating bias in RAG. In this work, we propose a re-ranking-based method, termed ReFaRAG, as an alternative to fine-tuning for controlling the bias in retrieval results. We further investigate how biased retrieval output affects different LLMs within the RAG framework.",Recommender system; Computer science; Stakeholder; World Wide Web; Management,2,TRUE,green,https://cris.maastrichtuniversity.nl/en/publications/aa2a0f01-5c8b-46a7-a6b2-fe778da3ef08,Netherlands; Netherlands; Netherlands,Roan Schellingerhout; Francesco Barile; Nava Tintarev,5.57935,9.17505,5.57935,9.17505,6.78975,6.05678,8.30218,2.94954,3.53395,2.42421,5.76819,3.53395,2.42421,5.76819,4.61978,5.77905,-0.02717,4.36735,2.98339,1.95023,5,Psychology · Natural language processing
231,Item Popularity Attention for Mitigating Popularity Bias in Sequential Recommendation,https://doi.org/10.1007/978-981-95-4100-3_28,Recommender Systems,2025,Zhewei Ding; Runxiong Liu; Ming-Wei Lin; Shenbao Yu; Jiayin Lin,China; China; China; China; China,"Bias within Artificial Intelligence (AI) systems constitutes a profound challenge with substantial implications for fairness, accountability, and societal equity. This paper presents an exhaustive examination of the ontology of bias in AI, delving deeply into its conceptual underpinnings and exploring the intricate algorithmic consequences arising from biased data and models. By establishing a comprehensive and nuanced framework that categorizes diverse manifestations of bias and elucidates their origins, this study aims to foster a profound understanding of how bias permeates AI systems. Integrating interdisciplinary perspectives drawn from philosophy, sociology, and computer science, the ontology of bias is meticulously dissected to reveal its multifaceted nature. Furthermore, the paper investigates the profound impacts of these biases on critical decision-making processes and proposes multifaceted strategies for mitigating bias through ethical design, advanced algorithmic techniques, and stringent regulatory frameworks. Through detailed case studies and empirical analysis, this research highlights the inherent complexities in addressing bias and underscores the imperative for collaborative endeavors to cultivate equitable AI technologies.",Popularity; Inference; Recommender system; Diversity (politics),0,FALSE,closed,,China; China; China; China; China,Zhewei Ding; Runxiong Liu; Ming‐Wei Lin; Shenbao Yu; Jiayin Lin,5.41529,5.11871,5.41529,5.11871,5.80138,8.89493,7.29544,6.75251,3.2896,4.63304,2.66396,3.2896,4.63304,2.66396,6.61139,7.94507,-0.31946,5.23912,6.78151,2.81606,4,Psychology · Mathematics
232,Mitigating Popularity Bias for Multi-view Group Recommendation,https://doi.org/10.1007/978-981-96-6963-9_21,Recommender Systems,2025,Qichang Geng; Xuemin Wang; Chuangying Zhu; Liang Chang; Yu Zeng; Yaorui Gan,China; China; China; China; China; China,"In the Big Data era, machine learning and artificial intelligence have reshaped decision-making, especially in sectors like healthcare and finance. However, this evolution raises significant concerns about fairness and bias. The abundance of data increases the risk of inherent biases, exacerbating social inequality and discrimination. Ensuring ethical machine functioning, where every user receives equal treatment, is essential. Conventional methods for handling large datasets struggle to identify and rectify biases, as big data often equals skewed data. To address this, we propose a knowledge graph-based approach alongside grammar-based testing to enhance machine learning fairness. By integrating domain-specific knowledge graphs into the pipeline, biases can be identified and mitigated during preprocessing, ensuring comprehensive fairness. Index Terms—Machine Learning, Artificial Intelligence, Big Data, Fairness, Knowledge Graphs.",Popularity; Computer science; Group (periodic table); Information retrieval; World Wide Web; Psychology; Physics; Social psychology,0,FALSE,closed,,China; China; China; China; China; China,Qichang Geng; Xuemin Wang; Chuangying Zhu; Liang Chang; Yu Zeng; Yaorui Gan,6.63149,5.36831,6.63149,5.36831,7.44742,8.44513,7.58923,8.85351,2.37572,4.07798,2.70217,2.37572,4.07798,2.70217,5.33864,8.07323,-0.97992,6.86307,7.32673,4.91555,4,Psychology · Mathematics
233,EqStruct-GNN: toward fair recommendation via debiased graph structure learning,https://doi.org/10.1108/IJICC-07-2025-0392,Recommender Systems,2025,Runxiong Liu; Jiayin Lin,China; China,"Purpose Graph neural networks (GNNs) have been widely applied to various recommendation scenarios due to their outstanding performance in capturing and modelling hidden relationships. However, as the performance of a GNN heavily relies on the graph structure, the structure bias can lead to significant unfairness problems in a GNN-based recommender system across different user groups. Furthermore, prior studies have shown that sensitive attributes of nodes can be revealed through the graph structure. In other words, even if a GNN-based recommendation system does not explicitly disclose a user’s sensitive information, it can still be inferred from the imbalance in users’ connections within the graph. This article therefore addresses the unfairness arising from such structural biases by proposing a novel model designed to mitigate these biases in GNN-based recommendation. Here, the fairness requirements refer to preventing the exposure of sensitive attributes during user modeling and avoiding biased recommendations across different demographic groups. Design/methodology/approach To address this issue, we propose a novel fairness-aware graph neural network model, EqStruct-GNN, which aims to mitigate inter-group unfairness at the structural level. The model is composed of three key modules: (1) the Adaptive Behavior Modeling Module, which computes fairness-aware node behavior probability distributions; (2) the Fairness-Aware Structure Construction Module, which builds graph structures based on these distributions and (3) the Fair Representation Learning Module, which generates unbiased node embeddings. Together, these modules enable EqStruct-GNN to construct a fairness-aware graph that reduces structural bias and improves fairness across sensitive groups. Findings Experimental results demonstrate that the proposed method achieves strong recommendation performance while ensuring fairness across multiple datasets. Furthermore, when applied to various backbone models, EqStruct-GNN not only significantly improves fairness metrics but also maintains or even enhances recommendation accuracy. These results highlight the generalization capability and practical effectiveness of the proposed framework. Originality/value Unlike existing methods that focus on representation-level fairness, our model tackles structural bias at its root by building a fairness-aware debiased graph through a novel graph construction mechanism. This structure enables the learning of fair and high-quality node representations by effectively mitigating structural bias while preserving critical interaction information. In addition, the proposed approach is universally adaptable and can be seamlessly applied to various GNN architectures, demonstrating strong generality and practical applicability.",Recommender system; Graph; Key (lock); Representation (politics); Node (physics); Network structure; Feature learning,0,FALSE,closed,,China; China,Runxiong Liu; Jiayin Lin,11.88261,5.11037,11.88261,5.11037,11.11251,6.17011,11.75439,4.24555,-1.95276,7.44325,4.41937,-1.95276,7.44325,4.41937,2.35525,6.12147,4.04188,8.55404,1.30016,1.43575,1,Graph · Theoretical computer science
234,The Impact of Popularity Bias and Perceived Fairness on Intention to Use Recommender System in Indonesian E-Commerce,https://doi.org/10.1109/IT67293.2026.11435608,Recommender Systems,2026,Vaniecia C. Dewi; Nilo Legowo,Indonesia; Indonesia,"This study examines factors influencing users' Behavioral Intention (BI) to use Artificial Intelligence (AI)based recommender systems in Indonesian B2C e-commerce by integrating Popularity Bias (PB) and Perceived Fairness (PF) into the Technology Acceptance Model (TAM). The purpose of this study is to investigate how PB shapes PF and how fairnessrelated perceptions subsequently influence Trust (T), Perceived Usefulness (PU), and users' Behavioral Intention (BI) to use recommender systems. The proposed research model analyzes the relationships among these key behavioral factors, including Cognitive Absorption (CA). A quantitative survey was conducted with 400 active users of major Indonesian ecommerce platforms, and the data were analyzed using Partial Least Squares Structural Equation Modeling (PLS-SEM). The results show that PB affects PF, which plays a central role in shaping T, PU, and BI. CA enhances PU, while T and PU significantly drive users' BI to use recommender systems. These findings emphasize the importance of fairness-aware recommendation mechanisms and extend TAM in the context of AI-based recommender systems.",Indonesian; Popularity; Recommender system; Affect (linguistics),0,FALSE,closed,,Indonesia; Indonesia,Vaniecia C. Dewi; Nilo Legowo,12.92625,3.85341,12.92625,3.85341,11.05883,4.58479,12.14114,3.26353,-3.16363,8.09764,4.54785,-3.16363,8.09764,4.54785,0.60253,6.28958,4.03946,8.32222,0.61776,0.59618,2,Recommender system · Information retrieval
235,Fairness Aware Regularization on a Learning-to-Rank Recommender System for Controlling Popularity Bias in E-Commerce Domain,https://doi.org/10.1109/ICITSI.2018.8696023,Recommender Systems,2018,Dede Kiswanto; Dade Nurjanah; Rita Rismala,Indonesia; Indonesia; Indonesia,"Recommender systems aim to recommend items for certain users based on rating prediction, user preferences, or other parameters. Along with their advantages in guiding users to appropriate items, recommender systems potentially experience a popularity bias. It is a condition where popular items will often be recommended, while non-popular items will never be recommended. Controlling popularity bias is necessary to introduce new, but appropriate, items. It can be done by making a fair proportion of popular and non-popular items to be recommended to users. One of the methods is by applying fairness aware regularization. This method can increase the proportion of medium-tail recommendations of non-popular items, without sacrificing ranking performance on the recommender system. We combined this method with a learning-to-rank algorithm and applied it in a recommender system for e-commerce. Based on the testing results by using a dataset of Amazon review, the method is able to increase the proportion of medium-tail recommendation of non-popular items, up to 54.1%, on the measurement of Average Percentage of Tail (APT) and gain 0.281 on the measurement of Normalized Discounted Cumulative Gain (NDCG) score. In addition, the method is also able to introduce different medium-tail non-popular items to users.",Recommender system; Computer science; Popularity; Learning to rank; Ranking (information retrieval); Regularization (linguistics); Machine learning; Rank (graph theory); Artificial intelligence; Domain (mathematical analysis); Information retrieval; Mathematics,12,FALSE,closed,,Indonesia; Indonesia; Indonesia,Dede Kiswanto; Dade Nurjanah; Rita Rismala,12.29701,4.07081,12.29701,4.07081,10.95547,4.50612,12.02434,3.36219,-2.72272,8.25675,4.79382,-2.72272,8.25675,4.79382,0.66123,6.11063,4.05298,8.21006,0.37072,0.87898,2,Recommender system · Information retrieval
236,A Dual-Adversarial Learning Framework with Explicit Constraints for Two-Sided Fairness in Recommendation System,https://doi.org/10.1515/opis-2025-0043,Recommender Systems,2026,Sabrina Karboua; Fouzi Harrag; Farid Meziane,Algeria; Algeria; UK,"Abstract Recommendation systems frequently exhibit two fundamental types of bias: user-side bias, where recommendations discriminate based on protected attributes such as gender, and item-side bias, where popular items dominate exposure irrespective of their actual relevance or quality. To address both simultaneously, we propose a dual-adversarial framework with two discriminators: a user-gender discriminator designed to mitigate gender bias by removing sensitive information from user embeddings, and an item-popularity discriminator aimed at reducing popularity bias among items. While adversarial learning encourages the model to generate bias-free embeddings by fooling discriminators, residual sensitive information may persist due to imperfect discriminator inference and distributional discrepancies. To further reduce this residual bias and enforce balanced, fair recommendations, we enhance the dual adversarial learning framework with two explicit fairness constraints that operate on the learned debiased user and item embeddings: an individual user fairness constraint that guarantees equitable recommendations for users with similar preferences, and a popularity regularization term that balances exposure across popular and less popular item groups. Experiments on three real-world datasets (MovieLens 1M, MovieLens 100K, and Book-Crossing) demonstrate significant gender predictability drops and popularity skew decreases, while maintaining competitive recommendation quality.",Discriminator; MovieLens; Inference; Popularity; Recommender system; Residual; Adversarial system; Skew,0,TRUE,diamond,https://www.degruyterbrill.com/document/doi/10.1515/opis-2025-0043/pdf,Algeria; Algeria; United Kingdom,Sabrina Karboua; Fouzi Harrag; Farid Meziane,12.58314,4.60108,12.58314,4.60108,10.43377,5.23883,11.6582,3.89101,-2.51221,7.72982,4.44835,-2.51221,7.72982,4.44835,1.24907,6.05026,4.31365,8.2447,0.90789,1.32349,2,Recommender system · Information retrieval
237,A scoping review and evidence gap analysis of clinical AI fairness,https://doi.org/10.1038/s41746-025-01667-2,Health & Clinical AI,2025,M. Liu; Yilin Ning et al.,Singapore; Singapore; Singapore; UK; Belgium; Singapore; Singapore; Singapore; Singapore; USA; Singapore; Singapore; Singapore; Singapore; Singapore; Singapore; USA; USA; Singapore; Singapore,"The ethical integration of artificial intelligence (AI) in healthcare necessitates addressing fairness. AI fairness involves mitigating biases in AI and leveraging AI to promote equity. Despite advancements, significant disconnects persist between technical solutions and clinical applications. Through evidence gap analysis, this review systematically pinpoints the gaps at the intersection of healthcare contexts-including medical fields, healthcare datasets, and bias-relevant attributes (e.g., gender/sex)-and AI fairness techniques for bias detection, evaluation, and mitigation. We highlight the scarcity of AI fairness research in medical domains, the narrow focus on bias-relevant attributes, the dominance of group fairness centering on model performance equality, and the limited integration of clinician-in-the-loop to improve AI fairness. To bridge the gaps, we propose actionable strategies for future research to accelerate the development of AI fairness in healthcare, ultimately advancing equitable healthcare delivery.",Psychology; Computer science,29,TRUE,gold,https://www.nature.com/articles/s41746-025-01667-2.pdf,Singapore; Singapore; Singapore; United Kingdom; Belgium; Singapore; Singapore; Singapore; Singapore; USA; Singapore; Singapore; Singapore; Singapore; Singapore; Singapore; USA; USA; Singapore; Singapore,M. Liu; Yilin Ning; Salinelat Teixayavong; Xiaoxuan Liu; Mayli Mertens; Yuqing Shang; Xin Li; Di Miao; Jingchi Liao; Jie Xu; Daniel Shu Wei Ting; Lionel Tim‐Ee Cheng; Jasmine Chiat Ling Ong; Zhen Ling Teo; Ting Fang Tan; Narrendar RaviChandran; Fei Wang; Leo Anthony Celi; Marcus Eng Hock Ong; Nan Liu,0.84883,4.39408,0.84883,4.39408,2.84701,7.32382,4.22132,6.55427,7.00663,6.39536,2.48869,7.00663,6.39536,2.48869,7.31637,7.38935,2.68925,3.57503,8.05709,3.53454,0,Health care · Medicine
238,Advancing Fairness in Clinical AI Decision-Making through a Sociotechnical Threshold Bias Audit,https://doi.org/10.5220/0014304300004070,Health & Clinical AI,2026,Dong-Gil Ko,USA,"Healthcare AI systems can have large performance differences across demographic groups, despite the absence of comprehensive synthesis of fairness methodologies and evidence-based implementation recommendations. To review the research on fairness in healthcare AI while identifying key gaps, a PRISMA guidelines were followed, resulting in the identification of 129 records and analyzing 38 included papers using a comprehensive taxonomy, by searching IEEE Xplore, Scopus, and ACM Digital Library (2020–2025). This review indicates that publications increased sixteen-fold from 2020 reaching a high in 2023–2024. Medical imaging (47.4%) and EHR-based prediction (36.8%) predominated applications. While 57.9% assessed group fairness, only 15.8% included intersectional bias. Mitigation strategies and techniques included causal/counterfactual methods (21.1%), fairness aware training (18.4%), and data preprocessing (15.8%). Studies focused on race or ethnicity (76.3%) and gender (65.8%), with little emphasis on socioeconomic factors (21.1%). Calibration fairness (26.3%) stands out as important for clinical decisions. Research conducted on fairness in healthcare AI identifies gaps in intersectional analysis, real-world validation, and standardized frameworks. Lastly, we suggest fairness frameworks that are specific to each situation and that combine clinical usefulness with fairness standards, required intersectional evaluation, and global cooperation to make sure that AI reduces health disparities instead of making them worse.",Sociotechnical system; Audit; Field (mathematics); Term (time),0,FALSE,closed,,USA,Dong‐Gil Ko,0.81595,4.38455,0.81595,4.38455,2.2053,7.74321,3.83986,6.99356,7.08628,6.47694,2.4461,7.08628,6.47694,2.4461,7.83949,7.56908,3.00799,3.24466,8.52855,4.11297,0,Health care · Medicine
239,Biased AI: A Case for Positive Bias in Healthcare AI,https://doi.org/10.3233/SHTI250912,Health & Clinical AI,2025,Hurmat Ali Shah; Zain Ul Abideen Tariq; Marco Agus; Mowafa Househ,Qatar; Qatar; Qatar; Qatar,"Bias in artificial intelligence (AI) is a pervasive challenge, often reinforcing systemic inequities in healthcare systems. This paper proposes an innovative framework to repurpose bias in AI, leveraging it as a tool for addressing structural injustices and improving outcomes for underrepresented and marginalized groups. Traditional healthcare algorithms often exhibit racial biases, such as underestimating risks for black patients or failing to detect dark-skinned individuals in diagnostic or safety-critical applications. This paper redefines AI bias as a tool for equity, proposing a framework to correct systemic healthcare disparities. By introducing purpose-driven bias, AI can enhance fairness in diagnostics, safety, and medical interventions. The approach involves bias analysis, diverse data curation, and AI fine-tuning to align with fairness objectives. This framework highlights the potential of ""biased AI"" to drive more inclusive and equitable healthcare.",Health care; Computer science; Artificial intelligence; Data science; Psychology; Economics; Economic growth,1,TRUE,hybrid,https://doi.org/10.3233/shti250912,Qatar; Qatar; Qatar; Qatar,Hurmat Ali Shah; Zain Ul Abideen Tariq; Marco Agus; Mowafa Househ,0.92897,4.38222,0.92897,4.38222,2.92001,7.33383,3.94036,6.56607,6.90147,6.41445,2.54767,6.90147,6.41445,2.54767,7.32992,7.39999,2.6318,3.17426,8.12475,3.71828,0,Health care · Medicine
240,"Governing Healthcare AI in the Real World: How Fairness, Transparency, and Human Oversight Can Coexist",https://doi.org/10.3390/sci8020036,Health & Clinical AI,2026,Paolo Bailo; Giulio Nittari et al.,Italy; Italy; Italy; Italy; Italy; Italy,"Artificial intelligence (AI) is rapidly shifting from experimental pilots to mainstream clinical infrastructure, redefining how evidence, accountability, and ethics intersect in healthcare. This narrative review integrates insights from peer-reviewed studies and policy frameworks to examine seven cross-cutting aspects: bias and fairness, explainability, safety and quality, privacy and data protection, accountability and liability, human oversight, and procurement and deployment. Findings reveal persistent inequities driven by dataset bias and opaque design; the need for explainability tools that are validated, task-specific, and usable by clinicians; and the centrality of post-market surveillance for sustaining patient safety. Privacy-preserving methods such as federated learning and differential privacy show promise but demand rigorous validation and regulatory coherence. Emerging liability models advocate shared enterprise responsibility, while governance-by-design—embedding transparency, auditability, and equity across the AI lifecycle—appears most effective in balancing innovation with public trust. Ethical, legal, and technical safeguards must evolve together to ensure that AI augments, rather than replaces, clinical judgment and institutional accountability.",Accountability; Narrative; USable; Mainstream; Liability; Equity (law); Normative; Information privacy; Procurement; Health Insurance Portability and Accountability Act,3,TRUE,gold,https://www.mdpi.com/2413-4155/8/2/36/pdf?version=1770382150,Italy; Italy; Italy; Italy; Italy; Italy,Paolo Bailo; Giulio Nittari; Giuliano Pesel; Emerenziana Basello; Tommaso Spasari; Giovanna Ricci,1.73797,4.71355,1.73797,4.71355,3.49117,6.76189,4.39954,6.54784,6.12277,6.48905,2.84311,6.12277,6.48905,2.84311,6.77916,6.74179,2.27934,3.34275,7.53692,3.92405,0,Health care · Medicine
241,Mitigating Data Bias in Healthcare AI with Self-Supervised Standardization,https://doi.org/10.1109/JBHI.2025.3588196,Health & Clinical AI,2025,Guipeng Lan; Yong Zhu; Shuai Xiao; Muddesar Iqbal; Jiachen Yang,China; China; China; Saudi Arabia; China,"The rapid advancement of artificial intelligence (AI) in healthcare has accelerated innovations in medical algorithms, yet its broader adoption faces critical ethical and technical barriers. A key challenge lies in algorithmic bias stemming from heterogeneous medical data across institutions, equipment, and workflows, which may perpetuate disparities in AI-driven diagnoses and exacerbate inequities in patient care. While AI's ability to extract deep features from large-scale data offers transformative potential, its effectiveness heavily depends on standardized, high-quality datasets. Current standardization gaps not only limit model generalizability but also raise concerns about reliability and fairness in real-world clinical settings, particularly for marginalized populations. Addressing these urgent issues, this paper proposes an ethical AI framework centered on a novel self-supervised medical image standardization method. By integrating self-supervised image style conversion, channel attention mechanisms, and contrastive learning-based loss functions, our approach enhances structural and style consistency in diverse datasets while preserving patient privacy through decentralized learning paradigms. Experiments across multi-institutional medical image datasets demonstrate that our method significantly improves AI generalizability without requiring centralized data sharing. By bridging the data standardization gap, this work advances technical foundations for trustworthy AI in healthcare.",Standardization; Computer science; Health care; Data science; Artificial intelligence; Data mining,1,FALSE,closed,,China; China; China; Saudi Arabia; China,Guipeng Lan; Yong Zhu; Shuai Xiao; Muddesar Iqbal; Jiachen Yang,0.99849,4.97379,0.99849,4.97379,2.75868,6.70773,3.41192,7.02927,6.89737,6.72525,3.12728,6.89737,6.72525,3.12728,6.86962,7.07297,2.98242,2.86594,8.53891,4.2667,0,Health care · Medicine
